operator;mnc;type;brend;inn
ИК СИБИНТЕК;1;mvno;СИБИНТЕК;7708119944
МГТС;1;mvno;МГТС;7710016640
МТС;1;mno;МТС;7740000076
МЕГАФОН;2;mno;МЕГАФОН;7812014560
Т2 МОБАЙЛ;3;mno;ТЕЛЕ2;7743895280
ОБИТ;4;fullmvno;ОБИТ;7810204213
ДЭНИ КОЛЛ;6;fullmvno;ДЭНИ КОЛЛ;4345404971
ВАЙНАХ ТЕЛЕКОМ;8;mno;ВАЙНАХ ТЕЛЕКОМ;2005503932
Т2 МОБАЙЛ;9;mno;ТЕЛЕ2;7743895280
Т2 МОБАЙЛ;10;mno;ТЕЛЕ2;7743895280
СКАРТЕЛ;11;fullmvno;YOTA;7701725181
ЛАЙКАМОБАЙЛ;13;fullmvno;ЛАЙКАМОБАЙЛ;9729056760
СКАЙНЭТ;14;fullmvno;SKYNET;7816223580
МИАТЕЛ;16;fullmvno;MiATel;7841482919
АСТРАН;18;fullmvno;12.RU;7717647570
ВИКОМ;20;mvno;ВИКОМ;7451318173
КОМТЕХЦЕНТР;20;mvno;КОМТЕХЦЕНТР;6670019135
КРОМИКС;20;mvno;КРОМИКС;7727842771
МОЙ ОПЕРАТОР;20;mvno;МОЙ ОПЕРАТОР;9722028932
ПЛИНТРОН;20;mvno;ПЛИНТРОН;9729297003
РОСТЕЛЕКОМ;20;mvno;РОСТЕЛЕКОМ;7707049388
СВЯЗЬРЕСУРС-МОБАЙЛ;20;mvno;СВЯЗЬРЕСУРС-МОБАЙЛ;2310199816
СИНТОНИК;20;mvno;СИНТОНИК;7736260018
Т2 МОБАЙЛ;20;mno;ТЕЛЕ2;7743895280
ТВЕ-ТЕЛЕКОМ;20;mvno;ПРОСТО;9710027740
ТРАНСТЕЛЕКОМ;20;mvno;ТРАНСТЕЛЕКОМ;7709219099
ТРИВОН НЕТВОРКС;20;mvno;СМАЙЛ;5054086236
ТТК-СВЯЗЬ;20;mvno;ТТК-СВЯЗЬ;7709362765
ЭКСПРЕСС МОБАЙЛ;20;mvno;ЭКСПРЕСС МОБАЙЛ;6163225548
РОСТЕЛЕКОМ;21;fullmvno;РОСТЕЛЕКОМ;7707049388
ТРАНСТЕЛЕКОМ;22;fullmvno;ТРАНСТЕЛЕКОМ;7709219099
КВАНТЕК;24;mvno;КВАНТЕК;7816601369
ВТБ МОБАЙЛ;26;fullmvno;ВТБ МОБАЙЛ;9705121882
ТАТТЕЛЕКОМ;27;mno;ТАТТЕЛЕКОМ;1681000024
ТВОИ МОБИЛЬНЫЕ ТЕХНОЛОГИИ;27;mvno;ЛЕТАЙ;1655327859
АНТАРЕС;28;mno;АНТАРЕС;7715650666
К-ТЕЛЕКОМ;32;fullmvno;WIN-MOBILE;2308210371
СЕВАСТОПОЛЬ ТЕЛЕКОМ;33;mvno;СЕТЬ92;9204569240
СЕВТЕЛЕКОМСВЯЗЬ;33;mno;СЕВМОБАЙЛ;9204558819
ЭЛЕМТЭ-ИНВЕСТ;33;mvno;ЭЛЕМТЭ-ИНВЕСТ;1660101110
КРЫМТЕЛЕКОМ;34;mno;КРЫМТЕЛЕКОМ;9102250133
ЕКАТЕРИНБУРГ-2000;35;mno;МОТИВ;6661079603
СТАРТ;36;fullmvno;СТАРТ;7801333131
МСН ТЕЛЕКОМ;37;fullmvno;МСН ТЕЛЕКОМ;7727752084
Т2 МОБАЙЛ;39;mno;ТЕЛЕ2;7743895280
ВТК-МОБАЙЛ;40;fullmvno;ВОЕНТЕЛЕКОМ;9718174994
ГАЗПРОМ ТЕЛЕКОМ;41;fullmvno;ГАЗПРОМ ТЕЛЕКОМ;7740000020
МТТ;42;fullmvno;МТТ;7705017253
СПРИНТ;43;fullmvno;EZ MOBILE;7723613650
КАНТРИКОМ;44;fullmvno;АЛЛО ИНКОГНИТО;7715296373
САНСИМ;44;mvno;САНСИМ;7715845841
ГАЗПРОМБАНК МОБАЙЛ;45;fullmvno;ГАЗПРОМБАНК МОБАЙЛ;7727443720
СИМ ТЕЛЕКОМ;47;fullmvno;Sim Sim;7707840631
ГЛОБАЛ ТЕЛЕКОМ;48;fullmvno;V-Tell;7723635005
ИНТЕРНОД;49;fullmvno;ИНТЕРНОД;7733808377
СБЕРБАНК-ТЕЛЕКОМ;50;fullmvno;СБЕРМОБАЙЛ;7736264044
ЦЕНТР 2М;51;fullmvno;ЦЕНТР 2М;7704330696
СОНЕТ;52;fullmvno;EASY4;7725726642
МИРАНДА-МЕДИА;54;mno;МИРАНДА;7702527584
БЕЗЛИМИТ;55;fullmvno;БЕЗЛИМИТ;9725007063
МАТРИКС ТЕЛЕКОМ;57;fullmvno;МАТРИКС ТЕЛЕКОМ;7705348953
МЕГАФОН;59;mno;МЕГАФОН;7812014560
КТК ТЕЛЕКОМ;60;mno;КТК ТЕЛЕКОМ;7718999159
ТИНЬКОФФ МОБАЙЛ;62;fullmvno;ТИНЬКОФФ МОБАЙЛ;7743200179
ГЛОНАСС;77;fullmvno;ГЛОНАСС;7703383783
МИРТЕЛЕКОМ;94;mno;МИРТЕЛЕКОМ;9102282270
ДНР РОС;97;mno;ДНР РОС;9308013351
МКС;98;mno;МКС;9402011009
ВЫМПЕЛКОМ;99;mno;БИЛАЙН;7713076301
